"path","count","rules","cwes"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_cat_11.c","6","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_cat_12.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_cat_13.c","6","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_cat_14.c","6","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_cat_15.c","6","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_cat_16.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_cat_17.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_cat_18.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_cat_21.c","6","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_cat_22a.c","6","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_cat_31.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_cat_32.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_cat_34.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_cat_41.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_cat_42.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_cat_44.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_cat_45.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_cat_51b.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_cat_52c.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_cat_53d.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_cat_54e.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_cat_61a.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_cat_63b.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_cat_64b.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_cat_65b.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_cat_66b.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_cat_67b.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_cat_68b.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_ncat_01.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_ncat_02.c","6","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_ncat_03.c","6","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_ncat_04.c","6","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_ncat_05.c","6","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_ncat_06.c","6","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_ncat_07.c","6","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_ncat_08.c","6","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_ncat_09.c","6","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_ncat_10.c","6","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_ncat_11.c","6","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_ncat_12.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_ncat_13.c","6","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_ncat_14.c","6","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_ncat_15.c","6","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_ncat_16.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_ncat_17.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_ncat_18.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_ncat_21.c","6","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_ncat_22a.c","6","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_ncat_31.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_ncat_32.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_ncat_34.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_ncat_41.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_ncat_42.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_ncat_44.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_ncat_45.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_ncat_51b.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_ncat_52c.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_ncat_53d.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_ncat_54e.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_ncat_61a.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_ncat_63b.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_ncat_64b.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_ncat_65b.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_ncat_66b.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_ncat_67b.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
"data/juliet/testcases/CWE665_Improper_Initialization/CWE665_Improper_Initialization__char_ncat_68b.c","4","tools.semgrep-rules.c.lang.security.insecure-use-memset;tools.semgrep-rules.c.lang.security.insecure-use-strcat-fn","CWE-14: Compiler Removal of Code to Clear Buffers;CWE-676: Use of Potentially Dangerous Function"
