"file","count"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__LATER_17.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__LATER_18.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__TODO_01.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__TODO_02.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__TODO_04.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__TODO_05.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__TODO_09.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__TODO_10.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__TODO_11.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__TODO_12.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__TODO_13.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__TODO_14.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__TODO_15.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__TODO_16.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__TODO_17.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__TODO_18.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CMakeFiles/4.1.2/CompilerIdC/CMakeCCompilerId.c","1"
"data/juliet/testcases/CWE546_Suspicious_Comment/CMakeFiles/4.1.2/CompilerIdCXX/CMakeCXXCompilerId.cpp","1"
